	Url	Category	Position	Title	Location	Amount_Raised	Goal	Number_of_Donations	Length_of_Fundraising	FB_Shares	Number_of_Donors	Followers	Text
0	https://www.gofundme.com/f/justiceforjacobblake	Medical	0	Justice for Jacob Blake	Kenosha, WI	2296580	3000000	72.9K	72 days 00:33:52.072310000	118K	72.5K	73.4K	"On August 23rd my son was shot multiple times in the back by a Kenosha Police Department officer, after my son broke up an altercation by an unrelated party. The shooting has now left my son critically injured as he fights for his life. The extent of my son’s injuries is unknown, but we remain prayerful as he continues to undergo multiple rounds of operations to save his life.

This fund is established to cover my son’s medical expenses, mental and grief counseling for our family and to assist our family in the days to come, as we continue to seek justice for Jacob.  A portion of these proceeds will also be used to benefit my son’s six children, some of whom witnessed this horrific act of violence.

Anyone wishing to send cards, letters of encouragement  and/or contributions in the form of a money order or check, may do so by mail at:
 
Julia Y. Jackson
c/o Ben Crump Law, PLLC
122 S. Calhoun Street
Tallahassee, FL 32301
Attn: Adner Marcelin
 "
0	https://www.gofundme.com/f/official-navajo-nation-covid19-relief-fund	Medical	0	Official Navajo Nation COVID-19 Relief Fund	Window Rock, AZ	1831590	1000000	22K	184 days 00:33:53.278684000	71.3K	21.5K	21.6K	"
The Navajo Nation COVID-19 Fund has been established to help the Navajo Nation respond to the COVID-19 pandemic. This is the Navajo Nation’s only official COVID-19 fundraising and donation effort.The Navajo Nation is accepting monetary and non-monetary donations to address immediate medical and community needs.  The Navajo Nation’s Health Command Center is coordinating donations to the Nation through the Nation's Department of Justice and Office of the Controller.  Pearline Kirk is the Navajo Nation Controller.   Non-monetary donations are also accepted.    For more information see www.navajo.fund or call (928)871-6206. 

For official information on COVID-19 on the Navajo Nation, please see: https://www.ndoh.navajo-nsn.gov/COVID-19 

The Official Navajo Nation government website is: https://www.navajo-nsn.gov 
"
0	https://www.gofundme.com/f/Tommy-Rivers-Rest-Up	Medical	0	Rest up, Tommy, we'll see you soon	Raised $105,973 from 1795 donations	652554	1000000	11K	110 days 00:33:55.164400000	20.8K	10.1K	10.2K	First, thank you for being here. Tommy Rivers and his beautiful family have been a shining light guiding so many through dark times; now is the time to reciprocate and prove that love is, indeed, always the answer. As some of you may know, almost a month ago, Tommy Rivs was admitted to the ICU with respiratory issues. After several weeks of testing and a lung biopsy, doctors discovered the presence of cancer. Specifically, Tommy Rivers was diagnosed with Primary Pulmonary NK T-Cell Lymphoma, a very rare and aggressive form of Lymphoma. Tommy was moved to a hospital in Scottsdale, AZ, where he is receiving chemotherapy under the guidance and expertise of some of the leading lymphoma physicians in the world.  As you can imagine, this treatment is expensive, and Tommy and his family could use all of the financial support they can get.Your generosity can help lighten the load, so that he can focus on recovery, as he taught us to do. Your kind donation will go directly to Steph and Tommy to help deal with the financial repercussions of his current condition, so they can focus on healing and supporting one another. Other ways to help: Because love knows no bounds and neither does Tommy’s heart, even from his ICU bed, he urged us to consider donating to provide emergency assistance to families of the Navajo nation, through an organization that is dear to him, Ajooba' Hasin, Families to Families. https://www.gofundme.com/f/clean-water-for-navajo
0	https://www.gofundme.com/f/brandon039s-medical-bills-and-medical-expenses	Medical	1	OFFICIAL BRANDON SAENZ MEDICAL FUND	Tyler, TX	570299	750000	24.7K	154 days 00:33:56.151397000	5.5K	24.3K	24.5K	My name is Melissa Green and I am the mother of Brandon Saenz.  Brandon is my only son, will always be the baby you see on the right, and sadly his life has forever been changed. On Saturday, May 30, 2020, Brandon was walking to get something to eat in downtown Dallas, and encountered protesters as he walked.  Police officers began walking towards the protestors and with no warning or provocation, they opened fire on the crowd and struck Brandon in his left eye.  Brandon had broken no laws.  Brandon had to undergo surgery where they were unable to salvage his eye and had to remove it.  My son’s entire left side of his face was broken including his nose and jaw. On Wednesday, his 26th birthday, he was released from the hospital and was simply just grateful to be alive.  The officer that committed this heinous crime has been protected by law enforcement and therefore we are unable to hold them accountable at this moment.  Brandon has been permanently maimed and is now disabled.  He has a long way to go with medical and life expenses.  We acknowledge that times are tough and appreciate anything that you can donate for my son.  Thanks you for all of the messages of encouragement as well.  TY SINCERELY BRANDON SAENZ AND FAMILY
0	https://www.gofundme.com/f/please-help-me-in-the-battle-for-my-life	Medical	1	PLEASE HELP ME IN THE BATTLE FOR MY LIFE	New Milford, NJ	498256	600000	7.8K	20 days 00:33:59.899292000	6.6K	7.7K	7.9K	PLEASE HELP ME IN THE BATTLE FOR MY LIFE. My name is Mimosa Selimaj. I am a wife and proud mother of a beautiful 2-year-old boy, Dean, and we live in New Milford, a small town in northern New Jersey. I was recently diagnosed with Stage 4 colon cancer.  I need your help with medical expenses and family support in the fight for my life.On July 13th of this year, my entire world was turned upside down.  I was rushed to the ER with severe pain in my abdomen and the doctors discovered a large mass on my ovary. This set off a whirlwind of tests to understand the root cause of my illness. Days after my 35th birthday, and less than 2 years after having Dean, I was diagnosed with colon cancer.  The doctors initially thought it was ovarian cancer. They said they had to remove my ovary and I was rushed in for emergency surgery. I was horrified because my husband and I had just started trying for our second child.  The doctors gave us hope by explaining that I could become pregnant with one ovary, but our hearts were heavy. As it turned out, this was far from the worst of our problems. Days later, I received a diagnosis that will forever shake me to my core. I have Stage 4 colon cancer. It has spread to my lungs, liver and remaining ovary. As a statistic, I am grim.I was paralyzed from shock after hearing this news, in a constant state of tears. I thought about my baby, who needs his mother. I thought about all of the milestones I have witnessed in his short life, and the many more which lie ahead. I thought about our delightful, ordinary days.  Seeing his eyes light up at cars and trucks.  His hugs. Dean’s life without me is not a thought that my husband or I can swallow. Two months into chemotherapy treatments, I am in capable hands and grateful for my doctors. But I am quite ill from the treatments, and we have quickly learned that our insurance will not cover some of the most critical aspects of my longer-term care, including many alternative and integrative therapies and experimental trials.  I am a young mother, and a short life span of suboptimal quality simply will not do. My husband is becoming an expert in my care, and I recently became a vegan under the direction a nutritionist who challenges traditional approaches to cancer and food.  I also continue to be an active mom to Dean, who is blissfully unaware. He celebrated his 2nd birthday this month amid the great excitement of his new toys and trucks. In the coming months, I need to travel nationwide to get treatment from doctors who don’t accept my insurance and receive medicine that is not covered either. I will undoubtedly need primary care from my husband, who will have to take time off without pay. The financial costs we face are staggering, but we are strong and determined.  We will not give up without a fight that will make our son proud. We are telling you our story because we need your help. If you can make a financial donation to help us, we will forever be grateful. Our son will grow up knowing the goodness in others, who gave his mother a chance to continue fighting to be here for him. If you cannot donate, please share our story, or share stories with us about people who challenge traditional boundaries in the fight against cancer. Every little bit helps.Thank you from the bottom of my heart for taking the time to read this.
0	https://www.gofundme.com/f/helping-laura-and-katherine-get-through-my-death	Medical	1	Helping Laura and Katherine get through my death.	Eugene, OR	420105	200000	9.7K	34 days 00:34:01.312085000	1.5K	9.6K	9.8K	I am dying of lymphoma. My wife, Laura, has been nothing but a hero during this time. She is about to lose two incomes (mine and hers) as she manages and does research in a lab we shared together. My life insurance is tiny thanks to academia and our savings are nearly nonexistent. My biggest fear is that she won't have resources to get up on her feet. Please consider supporting her through my absence.
0	https://www.gofundme.com/f/help-mattress-mack-save-camp-hope	Medical	2	Help Mattress Mack Save Camp Hope	Houston, TX	441294	1000000	1.7K	85 days 00:34:02.859561000	73	159	148	Mattress Mack invites you to help him SAVE CAMP HOPE by donating to this campaign today! The PTSD Foundation of America's Camp Hope is a facility located in Houston, TX that offers temporary housing at no cost to our nation's veterans and their families as veterans find help for combat related Post Traumatic Stress Disorder (PTSD). In addition to temporary housing, Camp Hope offers veterans intensive peer support and mentoring programs that heal and provide hope in their civilian lives.Camp Hope is currently at risk of shutting down and must raise $1,000,000 to keep their doors open to America's veterans. Your generous donation will help to SAVE CAMP HOPE so that they may continue to offer life saving services to those who have so selflessly served the United States of America. Please donate to Mattress Mack's campaign to SAVE CAMP HOPE today, and be a hero to our nation's heroes.  To learn more about Camp Hope, please visit https://bit.ly/3gPAA4j.Executive Director of Camp Hope David Maulsby (pictured) and Mattress Mack thank you for your donation. God bless you!
0	https://www.gofundme.com/f/rise-up-for-rhys	Medical	2	Rise Up for Rhys	Redondo Beach, CA	395875	500000	3.2K	137 days 00:34:04.462742000	2.3K	3.1K	3.2K	"
6 month old Rhys needs a life saving drug that costs $2.1 million. Follow Rhys’s story and current updates at www.RiseUpForRhys.org and on Instagram @RiseUpForRhysIn May of 2019 while on vacation in Scotland, Rory and I found out we were pregnant (though I already knew - mother’s intuition kicks in early!)  Our baby girl was due on Christmas Day, and after a perfectly healthy pregnancy and 20 hours of labor, we welcomed her 3 weeks early on December 4, 2019 at 12:13pm. Even though I had sworn not to give my children confusing-to-pronounce Welsh names as my mother had done to me, we decided to name her Rhys (pronounced Reese). Overnight she made us a family, and even her fur brother Bruce was absolutely in love. (Jury is still out for Tony).Rhys had been a healthy baby, loving her baths, walks outside, and cuddles and kisses from her doggies. As Rhys approached 4 months, that mother’s intuition was nagging me - I noticed that she seemed to be falling behind on milestones other babies her age were hitting. She always struggled with tummy time, and wasn’t able to roll over or hold her head up for very long. At her 4 month check up, our pediatrician said she just had low muscle tone and recommended physical therapy. At her next check up at 6 months, the pediatrician immediately noted Rhys’ lack of progression and expressed concerns that she may have Spinal Muscular Atrophy, a genetic condition we had never heard of before. A quick Google search, confirmed every parent’s greatest fear: ""The number 1 genetic disease that kills most babies up to 2 years old."" Appointments with Geneticists and Pediatric Neuro-muscular Specialists were set, blood and saliva tests ordered, and the waiting began. We hoped it was something else less severe, easier to treat, less devastating. ANYTHING but SMA. After 2 weeks, the longest 2 weeks of our lives, we received the heartbreaking diagnosis - Rhys has SMA Type 1, the most severe form of the disease.SMA is a terminal muscle degenerative disease, affecting eating, speaking, moving and even breathing. It results in muscle wasting where infants often die of respiratory failure ​before reaching the age of two. With SMA Type 1, each day means loss of specialized nerve cells, leading to muscle weakness and muscle cell death. It is so rare that just a few years ago, there was no treatment. Parents had to watch as their child was able to move less and less, becoming unable to eat and breath on their own.There is no cure for SMA, but in the last 2 years, two life changing treatments have become available. One treatment, SPINRAZA, works on the SMN2 gene, which is a less active copy of the SMN1 gene (the gene that is missing/non-functioning in a person with SMA). By boosting production of SMN2, SPINRAZA supports muscle development and provides a level of improvement. SPINRAZA is very expensive at $750K in the first year and $375K every year thereafter for life. In August of 2019, a new gene therapy, ZOLGENSMA was approved by the FDA. It replaces the missing/non-functioning SMN1 gene with a new functional copy. This medicine provides life changing improvement, some patients are even able to walk independently. Such a miracle drug comes at a cost, and ZOLGENSMA is the most expensive drug in the world at $2.1 million USD. Because SMA Type 1 is aggressive and degenerative, this is a race against time. With each day that passes, motor neurons in Rhys’ sweet little body are becoming inactive. All funds raised will go to Rhys’s medical care including gene therapy (out-of-pocket responsibility outside of insurance not known at this time), physical and occupational therapy, mobility and development equipment, etc. She has a lifetime ahead of her and will need continuous treatment for the best chance at a full life. In the case there are additional funds beyond Rhys’s needs, they will go to Cure SMA, an organization dedicated to raising awareness for this devastating disease. Every child should have the best possible chance at life - please join us to surround our happy little girl in love and support. Rise Up for Rhys!!!Find more info and stay tuned to www.RiseUpForRhys.com for updates. Share and invite others to support Rhys #RiseUpForRhys

 
"
0	https://www.gofundme.com/f/mercan-a-can	Medical	2	Mercan'a can - Life for Mercan (SMA Tip 1-Type 1)	Chicago, IL	1536550	2400000	10.2K	93 days 00:34:07.685825000	7.1K	9K	9.1K	"Fundraiser campaign for my cousin’s beloved 7-month old daughter, Mercan's gene therapy treatment cost.**Click on read more for English**Mercan'a canKuzenim Can Çorakçı'nın 7 aylık kız evladı Mercan Çorakçı için bir bağış kampanyası başlatıyorum.Mercan nadir bir genetik hastalık olan Spinal Müsküler Atrofi (SMA) Tip 1 hastası ve mümkün olan en kısa sürede gen tedavisi olması gerekiyor. Mercan'ın sağlıklı ve engelsiz bir yaşantısının olabilmesi için FDA (Amerikan Gıda ve İlaç Dairesi) ve EMA (Avrupa İlaç Kurumu) tarafından onaylı Zolgensma isimli gen tedavisini bir an önce olması gerekiyor. Mercan bu tedaviyi Amerika'da olacak ve bu tedavinin toplam maliyeti (Zolgensma İlacı + Yan Tedavi Masrafları) yaklaşık 2.4 Milyon ABD Doları (03.08.2020 tarihli kur ile yaklaşık 16.8 Milyon Türk Lirası). Sevgili Ege ve Can'ın bu miktarı toplayabilmeleri için sizlerin maddi ve manevi desteğine ihtiyacı var. Bu kampanya sadece sevgili Mercan'ımızın tedavi masraflarını karşılamaya adanmıştır.Mercan'ın hikayesini aşağıda paylaşıyorum. ================================Life for MercanI am organizing this fundraiser campaign for my cousin’s beloved 7-month old daughter, Mercan Çorakçı. Mercan was diagnosed with a rare genetic disease called Spinal Muscular Atrophy (SMA) Type 1 during her routine 3-month wellness check. Luckily, there is a gene therapy treatment named Zolgensma that was approved by the FDA and EMA which would enable Mercan to live a healthy life. Mercan needs to receive this one-time treatment as soon as possible to avoid irreversible neuro-muscular damage. The total cost of this treatment along with the additional costs to receive the treatment in the US adds up to $2.4 million. Hearing that you need $2.4 million to save your precious baby’s life can be daunting, but we believe we can achieve this with your support. Please help Ege and Can get their daughter, Mercan, this treatment and give Mercan a life. This fundraiser is solely dedicated to cover the costs of Mercan’s treatment.Scroll down to read more about Mercan, her diagnosis, and the treatment below.================================Mercan'ın HikayesiMercan'ımız 02.01.2020 tarihinde ailemizin ikinci evladı, oğlumuz Mete'mizin sevgili kardeşi olarak dünyaya geldi. Çekirdek aile olarak çok mutlu olduğumuz günlerden biriydi. Sağlıklı bir doğum sonrası Mercan yavrumuzu kucağımıza alarak anne baba olmanın mutluluğunu hayatımızda ikinci kez yaşamaktaydık. Mete'miz kardeşinin doğduğu günden hastaneden ayrılıncaya kadarki süreçte  kardeşine gösterdiği sevgi ile çok güzel ve değerli bir ağabeylik yapacağını bize göstermişti. Rutin bir hastane sürecinden sonra evimize geldik ve yeni yaşantımıza başladık. 4 kişilik mutlu ve sağlıklı bir ailemiz olacak derken, Mercan'ın hareketlerindeki yavaşlama ile ilgili gözlemlerimiz bizleri endişeye sürükledi. 3. ay rutin doktor muayenesinde Çocuk Doktor'umuz bizi Çocuk Nörologu Uzmanı'na yönlendirdi ve hayatımızın tamamen değişeceğinin ilk sinyallerini aslında o gün anladık. Vakit kaybetmeden Çocuk Nörologu Uzman Doktoru'na muayeneye gittik ve o gün adını ilk defa duyduğumuz bir hastalıktan; Spinal Müsküler Atrofi'den (SMA) şüphelenildiğini öğrendik. O dakika itibari ile korkarak araştırdığımız SMA hastalığının ne kadar zor ve yıkıcı bir hastalık olduğunu öğrenmeye başladık. Kesin tanı konabilmesi için genetik test yapılması gerektiğinden hızlıca tahlil için kan örneği verilmesi ile sonunun neye varacağı, bilinmezlerin ve kaygıların yer aldığı bir sürecin tüm ailemiz için başladığının farkına varmıştık. Tahlil sonucu çıkana kadar her hastalıkta olduğu gibi insanın özellikle kendi evladına böyle bir hastalığı yakıştırması mümkün gelmemişti, ta ki 14.04.2020 tarihinde genetik test raporu çıkıncaya kadar: ""Bu bulgular SMA hastalığı ile uyumludur"". O güne kadar bir ümit ile güzel haberler beklediğimiz sonuç, olumsuz gelmiş ve aslında Mercanı'mızın bebeklerde 1 numaralı ölümcül bir genetik hastalıkla doğduğu gerçeği ile bizleri karşı karşıya bırakmıştı. O an itibari ile tüm hayallerimizin ve tüm planlarımızın başka bir yöne doğru sürüklendiğinin farkına varmaya başlamıştık.SMA, nefes alma, hareket etme, yemek yeme gibi motor hareketleri sağlayan vücudumuzdaki kasların zayıflanmasına ve ilerleyen aşamada tamamen durmasına sebep olan ilerleyici bir nöromüsküler hastalıktır. Bu hastalık SMN1 genine ait 7. ve 8. ekzonlardaki mutasyon veya delesyon sonucu ortaya çıkmakta ve motor nöronların ihtiyaç duyduğu protein SMN1 geni tarafından üretilemediğinden vücuttaki motor nöronların geri dönüşü olmayan kaybı söz konusu olmaktadır. Bunun sonucunda istemli kaslar iyi hareket edemez, kuvvetsizleşir ve kas zayıflığı (atrofi) meydana gelmektedir. Mercan'ımız şu an 7 aylık ve ilerleyici bir hastalık olduğunda dolayı en kısa sürede gen tedavisi olması gerektiği 2 farklı Çocuk Nörologu Hekim tarafından şiddetle önerilmiştir. Novartis ilaç firmasının alt kuruluşu olan Avexis firması tarafından üretilmekte olan Zolgensma Gen Tedavisi ile tek dozluk damardan uygulama yöntemi ile bu hastalığın kalıcı olarak tedavi edilmesi mümkündür. Bu sayede  sağlıklı bir bebeğin sahip olduğu motor hareketlerine Mercan'ımızın da kavuşması mümkün olacaktır.Motor nöronların kalıcı olarak uykuya geçmesinden önce (fonksiyonlarını tamamen kaybetmeden) bu tedavinin yapılması gerektiğinden, Mercan'ımız zaman ile yarışmakta ve her geçen vakit onun aleyhine işlemektedir.Mercan şu an yaşıtı bir bebeğin olması gereken kas kuvvetine erişmiş durumda değil. Onun yaşıtları gibi gelişimini sürdürebilmesi, sağlıklı ve özgür bir çocuk olabilmesi için sizlerin Mercan'ımızın destekleyicisi olmanızı ve bizlere bu zor süreçte yardım etmenizi diliyoruz.Mercan'a can için bize destek verir misiniz?Sevgiler,Ege ve Can Çorakçı================================Mercan's StoryMercan was born on January 02, 2020. She is our second child and the little sister of our beloved son Mete. We were elated to become parents for a second time after a healthy pregnancy and delivery. Mete proved himself to be a loving brother from the moment Mercan was born and came home with us.After an uneventful hospital stay, we brought Mercan home and started our new life as a family of four. As we were enjoying our newborn days and dreaming of a happy and healthy future, we noticed a developmental delay in our daughter’s movements. When we brought this concern up with our pediatrician, he referred us to a pediatric neurologist. We got the sense that our world was about to turn upside down soon. We got an appointment from a pediatric neurologist right away and were informed that doctors were suspecting a disease that we had never heard before, Spinal Muscular Atrophy (SMA).When we researched SMA, we learned that it was a severely degenerative disorder. A genetic test was needed for an exact diagnosis. The waiting period for the results was devastating. Honestly, like many parents, we still hung on to the thinnest thread of hope that it wasn’t SMA, rather something simpler and easily curable until the results arrived. When we received the report on April 14, 2020, and read the statement where it said “Findings are compatible with SMA Type 1,”  we were faced with the harsh reality that our baby daughter was born with a genetic disease with the grimmest prognosis. At that time, the path of our lives took a sharp turn.Spinal muscular atrophy (SMA) is a disease that robs people of physical strength by affecting the motor nerve cells in the spinal cord, taking away the ability to walk, eat, or breathe. It is the number one genetic cause of death for infants. SMA is caused by a mutation in the survival motor neuron gene 1 (SMN1). In a healthy person, this gene produces a protein that is critical to the function of the nerves that control our muscles. Without it, those nerve cells cannot properly function and eventually die, leading to debilitating and sometimes fatal muscle weakness. (Source: curesma.org)SMA is a fast-progressing disease. Two pediatric neurologists recommended that Mercan receive the gene therapy treatment to stop the progression as soon as possible. The gene therapy named Zolgensma which is manufactured by Avexis, owned by Novartis can prevent further motor neuron and muscle degeneration by replacing the defective or missing gene (SMN1) that causes Spinal Muscular Atrophy (SMA). With this one-time treatment, Mercan will be able to move and live as a healthy girl.Mercan is seven months old now. Her muscular development is visibly delayed compared to her peers and we are racing against time to get this treatment for Mercan before her motor neurons permanently atrophy. We need your support on this difficult journey so that Mercan can grow up to be healthy, strong, and abled. Please contribute to Mercan’s fundraising campaign, so that she can get her treatment as soon as possible.Sincerely,Ege and Can Çorakçı"
0	https://www.gofundme.com/f/covid19-protest-relief-fund	Medical	3	COVID-19 Protest Relief Fund	New York, NY	369730	400000	7.7K	156 days 00:34:08.758238000	6.6K	7.5K	7.6K	Image by: Nam Y. Huh/APAs thousands of people take to the streets to protest racial discrimination and the many Black Lives lost at the hands of injustice,  we also have the unfortunate fact that this deadly pandemic is still upon us. The lives at risk of the injustice being fought against are also the most vulnerable to COVID-19. Many will not be in position to pay the inevitable cost associated with their brave efforts. This fund is to assist those that contract this disease while protesting and other protest related injuries as many are being attacked while speaking out. We haven't been able to get ahead of COVID-19 thus far,  but this is certainly another step in the right direction!Funds will assist with:- Testing in relation to COVID-19- Treatment/hospital bills as related to COVID-19- Injuries obtained while protesting-  Bail relief and/or court expenses for protestors. Black Lives Matter! We stand with those protesting in support of the change that we need to see.
